employee_id,BusinessTravel,DistanceFromHome,JobInvolvement,EnvironmentSatisfaction,RelationshipSatisfaction
5395078,Travel_Rarely,25,2,2,4
9351597,Travel_Frequently,2,3,2,4
2588608,Travel_Rarely,1,3,4,4
6987632,Travel_Rarely,20,3,1,4
4870009,Travel_Rarely,5,3,3,4
4411793,Travel_Rarely,2,1,3,2
2947360,Non-Travel,4,3,3,2
742839,Travel_Rarely,2,2,1,3
2666838,Non-Travel,16,3,3,2
6152789,Non-Travel,2,3,4,1
4606104,Travel_Rarely,16,3,1,4
4024885,Travel_Rarely,10,2,3,1
3528969,Travel_Rarely,1,2,4,3
9319794,Travel_Frequently,6,2,2,2
9820200,Travel_Rarely,7,1,4,1
9854858,Non-Travel,26,2,1,1
5607541,Travel_Rarely,1,3,2,3
1722083,Travel_Rarely,1,2,3,4
9672454,Travel_Rarely,8,2,2,3
614390,Travel_Rarely,5,3,3,2
8026954,Travel_Rarely,1,3,2,3
5539592,Travel_Rarely,12,3,2,2
9547110,Travel_Rarely,1,3,3,3
5566104,Travel_Rarely,2,2,2,4
8848012,Travel_Frequently,1,1,3,1
6505718,Travel_Rarely,2,3,1,2
5937024,Travel_Frequently,1,2,3,4
5191273,Travel_Frequently,1,4,3,1
8382213,Non-Travel,8,2,4,4
4668542,Travel_Rarely,2,1,2,1
5037895,Non-Travel,5,3,2,2
1878586,Non-Travel,20,3,4,4
7173071,Non-Travel,11,2,3,3
3181264,Travel_Rarely,2,3,1,4
8245199,Travel_Rarely,6,3,1,3
7762791,Travel_Rarely,6,3,1,4
9241598,Travel_Rarely,21,3,3,4
9631536,Travel_Rarely,9,3,4,1
2206147,Travel_Rarely,9,3,2,4
4154861,Travel_Rarely,12,3,4,3
7343461,Travel_Rarely,8,3,4,4
9913515,Travel_Rarely,8,2,4,3
9977414,Travel_Rarely,2,3,3,3
795229,Travel_Rarely,26,2,3,3
3693205,Non-Travel,3,3,3,4
5666535,Travel_Frequently,2,3,2,2
3160989,Travel_Rarely,7,3,1,3
1646370,Travel_Rarely,3,3,4,1
3609881,Travel_Rarely,6,3,4,3
9998061,Travel_Rarely,1,1,3,3
5515119,Non-Travel,1,2,1,4
9645076,Travel_Rarely,29,2,1,1
9430955,Travel_Rarely,2,3,3,3
8186811,Travel_Frequently,26,2,3,4
5753585,Travel_Frequently,3,3,4,4
6844970,Travel_Rarely,1,3,1,3
2697856,Travel_Rarely,19,3,2,1
699908,Travel_Rarely,2,3,2,4
6495653,Travel_Rarely,3,2,2,3
8590623,Travel_Frequently,3,3,3,1
2978313,Travel_Rarely,8,2,2,4
3248975,Travel_Rarely,4,3,4,2
3399264,Travel_Rarely,3,3,3,3
9241285,Travel_Rarely,8,4,4,4
2230020,Travel_Frequently,7,2,3,1
6379798,Travel_Rarely,2,2,1,3
5464794,Travel_Rarely,1,4,3,3
6049855,Travel_Rarely,7,2,2,3
3053074,Travel_Frequently,26,2,3,3
5550162,Travel_Frequently,20,3,4,2
847967,Travel_Rarely,3,1,4,4
3104620,Travel_Rarely,2,3,1,3
2670773,Non-Travel,1,3,3,2
5392132,Travel_Rarely,1,3,3,3
3727126,Travel_Rarely,1,3,3,1
2100839,Travel_Rarely,2,3,3,4
9205099,Travel_Rarely,29,3,2,1
6120837,Travel_Rarely,1,3,4,4
3142950,Travel_Rarely,20,3,4,3
9617171,Travel_Rarely,4,3,3,4
1409898,Travel_Frequently,3,2,3,2
1607859,Travel_Frequently,24,3,4,4
7162945,Travel_Rarely,6,2,1,3
8186986,Travel_Rarely,1,3,3,4
9608227,Travel_Rarely,12,3,3,3
4337151,Travel_Rarely,1,2,2,4
94109,Travel_Rarely,12,4,3,4
3951099,Travel_Rarely,9,3,3,3
8414325,Travel_Rarely,7,4,1,3
3395151,Travel_Rarely,13,2,3,4
9807296,Travel_Rarely,2,3,3,1
2480284,Non-Travel,8,3,3,4
2030984,Travel_Rarely,5,3,3,3
9810347,Travel_Rarely,7,3,1,3
4495480,Travel_Rarely,10,4,4,4
1331634,Travel_Frequently,10,3,3,4
9823461,Travel_Rarely,10,3,2,2
7884997,Travel_Rarely,12,3,4,3
8436858,Travel_Frequently,10,3,4,4
9530407,Non-Travel,29,3,1,4
3800762,Travel_Rarely,7,2,2,4
5672592,Travel_Rarely,10,4,1,4
5423528,Travel_Rarely,13,3,4,3
1374918,Travel_Frequently,20,3,3,4
8516136,Travel_Rarely,3,4,1,4
3701355,Travel_Rarely,10,3,4,2
3855304,Travel_Frequently,16,4,3,3
7775040,Travel_Frequently,24,4,3,4
4114086,Travel_Rarely,6,3,4,4
4223013,Travel_Frequently,5,2,3,1
4185942,Travel_Rarely,19,3,3,3
5850062,Travel_Frequently,3,3,2,1
7365682,Travel_Rarely,3,3,1,1
8304925,Travel_Rarely,7,3,3,2
9838790,Travel_Rarely,17,3,3,4
2797164,Travel_Rarely,7,3,2,2
6646651,Non-Travel,2,3,1,4
6825806,Travel_Frequently,2,2,4,4
4250300,Travel_Rarely,6,3,2,4
1805904,Non-Travel,10,1,3,1
7876504,Travel_Rarely,9,2,3,4
3036183,Travel_Frequently,1,3,3,3
8250149,Travel_Rarely,28,3,2,2
8385603,Travel_Rarely,1,3,3,1
5511194,Travel_Rarely,29,2,2,2
4574744,Travel_Rarely,4,2,4,4
5274663,Travel_Rarely,9,3,3,4
150677,Travel_Rarely,1,3,2,4
6040828,Travel_Rarely,28,2,2,1
818196,Non-Travel,3,3,4,3
7277934,Travel_Frequently,19,4,3,4
8207348,Travel_Rarely,4,3,1,3
