e_id,Attrition,DailyRate,HourlyRate,PerformanceRating,StockOptionLevel
1,Yes,11,6,1,0
2,No,12,7,1,0
3,Yes,13,8,3,1
4,Yes,14,9,4,0
5,No,15,10,1,0
6,No,16,11,4,0
7,No,17,12,2,1
8,Yes,18,13,1,0
9,Yes,19,14,1,0
10,No,20,15,1,1
11,Yes,21,16,3,1
12,No,22,17,4,1
13,No,23,18,1,0
14,No,24,19,3,1
15,No,25,20,2,0
16,No,26,21,1,1
17,No,27,22,1,0
18,No,28,23,1,1
19,Yes,29,24,1,1
20,No,30,25,4,0
21,No,31,26,2,1
22,No,32,27,4,0
23,No,33,28,3,0
24,No,34,29,2,0
25,Yes,35,30,3,1
26,No,36,31,4,0
27,Yes,37,32,4,0
28,Yes,38,33,1,0
29,Yes,39,34,4,0
30,Yes,40,35,3,0
31,No,41,36,1,0
32,No,42,37,1,1
33,No,43,38,4,1
34,No,44,39,4,0
35,No,45,40,3,1
36,Yes,46,41,4,1
37,No,47,42,2,0
38,Yes,48,43,2,1
39,Yes,49,44,2,0
40,Yes,50,5,1,1
41,Yes,51,6,4,1
42,No,52,7,4,1
43,Yes,53,8,2,0
44,No,54,9,4,0
45,Yes,55,10,3,1
46,No,56,11,2,1
47,Yes,57,12,2,1
48,No,58,13,2,1
49,Yes,59,14,1,1
50,Yes,60,15,2,0
51,Yes,61,16,3,0
52,Yes,62,17,2,1
53,Yes,63,18,1,1
54,Yes,64,19,4,1
55,No,65,20,1,1
56,No,66,21,3,0
57,Yes,67,22,4,0
58,No,68,23,2,0
59,No,69,24,3,0
60,No,70,25,2,0
61,Yes,71,26,1,0
62,Yes,72,27,1,1
63,No,73,28,3,0
64,Yes,74,29,1,1
65,Yes,75,30,3,0
66,Yes,76,31,2,0
67,No,77,32,2,1
68,Yes,78,33,2,1
69,No,79,34,2,1
70,No,80,35,4,0
71,Yes,81,36,3,0
72,No,82,37,3,0
73,No,83,38,1,0
74,No,84,39,1,0
75,Yes,85,40,1,1
76,Yes,86,41,1,0
77,Yes,87,42,3,0
78,Yes,88,43,3,0
79,No,89,44,4,1
80,Yes,90,5,1,1
81,No,91,6,4,1
82,Yes,92,7,1,0
83,No,93,8,1,0
84,Yes,94,9,2,0
85,Yes,95,10,2,0
86,Yes,96,11,3,0
87,Yes,97,12,4,0
88,No,98,13,4,0
89,No,99,14,3,0
90,No,100,15,1,0
91,Yes,101,16,4,1
92,No,102,17,4,0
93,No,103,18,1,1
94,No,104,19,4,0
95,No,105,20,3,0
96,No,106,21,2,1
97,Yes,107,22,4,1
98,Yes,108,23,1,0
99,No,109,24,3,1
100,Yes,110,25,3,0
101,Yes,111,26,4,1
102,No,112,27,4,0
103,Yes,113,28,4,1
104,No,114,29,3,0
105,No,115,30,1,0
106,Yes,116,31,1,0
107,No,117,32,2,0
108,Yes,118,33,1,0
109,Yes,119,34,3,1
110,No,120,35,3,1
111,No,121,36,4,0
112,No,122,37,3,0
113,Yes,123,38,2,1
114,Yes,124,39,4,0
115,No,125,40,4,0
116,Yes,126,41,1,1
117,No,127,42,2,1
118,Yes,128,43,4,1
119,No,129,44,4,0
120,No,130,5,4,1
121,Yes,131,6,3,0
122,Yes,132,7,4,0
123,Yes,133,8,2,0
124,No,134,9,1,0
125,Yes,135,10,2,1
126,No,136,11,2,1
127,No,137,12,1,0
128,No,138,13,4,1
129,No,139,14,4,0
130,No,140,15,2,0
131,No,141,16,3,0
132,Yes,142,17,1,0
133,No,143,18,1,0
134,No,144,19,2,1
135,No,145,20,3,1
136,Yes,146,21,3,0
137,Yes,147,22,4,1
138,Yes,148,23,2,1
139,Yes,149,24,4,1
140,Yes,150,25,4,0
141,Yes,151,26,1,1
142,No,152,27,1,1
143,No,153,28,4,1
144,Yes,154,29,3,0
145,Yes,155,30,1,0
146,No,156,31,2,1
147,No,157,32,2,1
148,Yes,158,33,2,0
149,No,159,34,2,0
150,No,160,35,2,0
151,Yes,161,36,1,0
152,Yes,162,37,1,0
153,No,163,38,1,0
154,Yes,164,39,3,1
155,No,165,40,3,1
156,No,166,41,1,0
157,Yes,167,42,3,0
158,No,168,43,4,0
159,No,169,44,1,1
160,No,170,5,1,1
161,No,171,6,3,1
162,Yes,172,7,4,0
163,No,173,8,3,1
164,No,174,9,1,1
165,Yes,175,10,1,0
166,Yes,176,11,3,0
167,No,177,12,1,0
168,Yes,178,13,1,0
169,Yes,179,14,3,1
170,No,180,15,3,1
171,No,181,16,3,1
172,No,182,17,3,1
173,Yes,183,18,1,1
174,No,184,19,4,1
175,Yes,185,20,2,1
176,Yes,186,21,4,0
177,Yes,187,22,4,1
178,No,188,23,2,0
179,No,189,24,4,1
180,No,190,25,1,0
181,Yes,191,26,3,1
182,Yes,192,27,1,1
183,No,193,28,2,0
184,Yes,194,29,2,0
185,No,195,30,2,0
186,No,196,31,1,0
187,Yes,197,32,2,1
188,No,198,33,4,1
189,Yes,199,34,4,1
190,No,200,35,4,0
191,Yes,201,36,2,0
