Year,Population,Total,Violent,Property,Murder,Rape,Robbery,assault,Burglary,Theft
2000,281421906,11608072,1425486,10182586,15586,90178,408016,911706,2050992,6971590
2001,285317559,11876669,1439480,10437480,16037,90863,423557,909023,2116531,7092267
2002,287973924,11878954,1423677,10455277,16229,95235,420806,891407,2151252,7057370
2003,290690788,11826538,1383676,10442862,16528,93883,414235,859030,2154834,7026802
2004,293656842,11679474,1360088,10319386,16148,95089,401470,847381,2144446,6937089
2005,296507061,11565499,1390745,10174754,16740,94347,417438,862220,2155448,6783447
2006,299398484,11401511,1418043,9983568,17030,92757,447403,860853,2183746,6607013
2007,301621157,11251828,1408337,9843481,16929,90427,445125,855856,2176140,6568572
2008,304374846,11160543,1392628,9767915,16442,90479,443574,842134,2228474,6588046
2009,307006550,10762956,1325896,9337060,15399,89241,408742,812514,2203313,6338095
2010,309330219,10363873,1251248,9112625,14772,85593,369089,781844,2168457,6204601
2011,311587816,10258774,1206031,9052743,14661,84175,354772,752423,2185140,6151095
2012,313873685,10219059,1217067,9001992,14866,85141,355051,762009,2109932,6168874
2013,316497531,9850445,1199684,8650761,14319,82109,345095,726575,1931835,6018632
2014,318907401,9395195,1186185,8209010,14164,84864,322905,731089,1713153,5809054
2015,320896618,9258298,1234183,8024115,15883,91261,328109,764057,1587564,5723488
2016,323405935,9214136,1285606,7928530,17413,132414,332797,802982,1516405,5644835
2017,325147121,8966863,1283875,7682988,17294,135666,320596,810319,1397045,5513000
2018,327167434,8441110,1245065,7196045,16214,139380,282061,807410,1230149,5217055
