sales,transactions,neg
107.16,20,1
110.66,2,1
4697.62,12,1
103.08,9,1
-566.5,1,-1
35.12,18,1
1777.2,11,1
1006.33,1,1
2572.96,6,1
-421.83,3,-1
3122.17,4,1
2490.15,3,1
21.6,1,1
122.08,20,1
152.61,15,1
47.44,18,1
78.32,15,1
1278.42,3,1
427.89,16,1
3093.45,24,1
414.95,15,1
402.82,1,1
305.79,15,1
2054.87,1,1
105.23,17,1
234.44,16,1
777.15,21,1
188.27,6,1
1589.17,4,1
-119.33,5,-1
105.49,15,1
99.68,18,1
329.39,15,1
135.59,15,1
214.9,11,1
5086.47,8,1
182.76,17,1
221.7,8,1
159.28,15,1
210.92,11,1
184.53,21,1
290.8,17,1
209.6,1,1
100.67,18,1
1161.17,3,1
467.62,22,1
179.79,10,1
342.51,16,1
1357.63,7,1
1396.0,11,1
1674.0,3,1
2170.78,1,1
96.34,20,1
244.59,18,1
3796.0,9,1
2082.6,6,1
233.79,3,1
281.84,21,1
119.76,18,1
224.03,4,1
382.11,23,1
337.58,17,1
98.2,19,1
188.11,20,1
395.95,13,1
388.61,12,1
123.24,18,1
1988.13,4,1
506.32,19,1
2797.17,5,1
145.67,15,1
638.83,17,1
134.81,12,1
2185.67,38,1
101.92,20,1
155.24,20,1
389.01,22,1
218.69,17,1
196.17,25,1
180.91,15,1
1800.67,4,1
271.41,4,1
386.57,7,1
168.59,15,1
182.17,16,1
153.71,15,1
275.31,16,1
160.9,11,1
2032.67,7,1
2107.08,1,1
183.7,14,1
195.62,13,1
131.41,21,1
141.71,30,1
252.48,18,1
360.59,22,1
253.47,16,1
147.11,13,1
137.72,20,1
72.83,22,1
238.7,15,1
583.81,13,1
2134.6,1,1
1127.26,15,1
193.71,11,1
437.12,19,1
621.8,24,1
96.81,16,1
267.28,21,1
403.33,6,1
284.4,11,1
141.44,8,1
332.02,20,1
224.7,21,1
1281.77,23,1
269.64,3,1
2049.0,1,1
2099.5,6,1
152.21,25,1
253.66,15,1
1256.67,2,1
492.13,18,1
3450.2,7,1
153.33,23,1
147.05,23,1
4262.18,4,1
170.93,13,1
