job_id,title,agency,posting_date,salary_from,salary_to
378085,HVAC Service Technic,DEPT OF HEALTH/MENTAL HYGIENE,2018-12-21,385,385
377919,"Psychologist, Level ",POLICE DEPARTMENT,2018-12-31,62458,81131
379321,Asset Manager,HOUSING PRESERVATION & DVLPMNT,2019-01-07,52524,60000
378658,Public Health Adviso,DEPT OF HEALTH/MENTAL HYGIENE,2019-01-02,37957,47142
321570,"Deputy Commissioner,",DEPT OF ENVIRONMENT PROTECTION,2018-01-26,209585,209585
362558,Assistant Project Ma,NYC HOUSING AUTHORITY,2018-10-25,65480,95214
372942,Administrative Assis,DEPT OF HEALTH/MENTAL HYGIENE,2018-11-01,49390,56798
286700,SUPV. RACKETS INVEST,DISTRICT ATTORNEY KINGS COUNTY,2019-02-01,58880,82462
373619,Analyst,OFFICE OF MANAGEMENT & BUDGET,2018-11-05,58162,65433
347604,AGENCY ATTORNEY INTE,HRA/DEPT OF SOCIAL SERVICES,2018-05-30,57944,66636
361694,Stationary Engineer ,DEPT OF ENVIRONMENT PROTECTION,2018-08-29,363.92,363.92
366759,Senior Construction ,OFFICE OF THE COMPTROLLER,2018-10-03,65000,75000
375138,"Contract Analyst, Me",DEPT OF HEALTH/MENTAL HYGIENE,2018-11-28,40316,60000
289955,Deputy Chief of Qual,DEPT OF ENVIRONMENT PROTECTION,2017-05-23,60435,161497
362723,Division Chief Contr,DEPT OF ENVIRONMENT PROTECTION,2018-09-04,67060,178873
375950,"Planner, Brooklyn Pl",HOUSING PRESERVATION & DVLPMNT,2018-12-03,52524,81535
359133,Borough Planner - Ma,DEPARTMENT OF CITY PLANNING,2018-08-14,55000,65000
375711,Deputy Branch Manage,ADMIN TRIALS AND HEARINGS,2018-12-11,37217,61936
375612,"DIRECTOR, CAPITAL AC",DEPARTMENT OF BUSINESS SERV.,2018-12-24,63031,80000
376721,Analyst,OFFICE OF MANAGEMENT & BUDGET,2018-12-07,45491,68244
367200,CAD OPERATOR,DEPT OF ENVIRONMENT PROTECTION,2018-10-12,52194,72742
367521,Assistant Highway Tr,DEPARTMENT OF TRANSPORTATION,2018-10-03,47891,70457
348006,Chief of Contract Ad,DEPT OF ENVIRONMENT PROTECTION,2018-07-10,60724,141319
373260,Gardener,DEPT OF ENVIRONMENT PROTECTION,2018-11-09,42146,60659
369825,"DEPUTY DIRECTOR, WAT",OFFICE OF EMERGENCY MANAGEMENT,2018-10-31,80000,80000
374390,Surveillance Informa,DEPT OF HEALTH/MENTAL HYGIENE,2018-11-19,73305,91045.08
374909,PROJECT MANAGER,DEPT OF ENVIRONMENT PROTECTION,2018-11-26,55416,83151
377295,"Deputy Director, Gra",DEPT OF DESIGN & CONSTRUCTION,2019-01-03,63031,168433
378003,Public Health Advise,DEPT OF HEALTH/MENTAL HYGIENE,2018-12-20,45782,54518.4
311540,Housekeeping,ADMIN FOR CHILDREN'S SVCS,2019-02-04,32221,37054
340952,Administrator on Dut,DEPT OF HEALTH/MENTAL HYGIENE,2018-04-09,52604,71388
355649,Financial Auditor,DEPT OF ENVIRONMENT PROTECTION,2018-08-03,52143,65000
285539,Civil Engineer 3,DEPARTMENT OF TRANSPORTATION,2017-04-01,83887,113725
369811,NOTIFY NYC/PUBLIC WA,OFFICE OF EMERGENCY MANAGEMENT,2018-10-31,58000,58000
379463,Infrastructure Summe,DEPT OF DESIGN & CONSTRUCTION,2019-01-24,13,15.5
371837,Confidential Investi,DEPARTMENT OF INVESTIGATION,2018-10-24,41996,50000
379619,Instrument Person,DEPT OF DESIGN & CONSTRUCTION,2019-01-17,60597,81526
380626,Senior Staff Enginee,OFFICE OF THE COMPTROLLER,2019-01-16,99000,112500
374888,Tests & Measurement ,DEPT OF CITYWIDE ADMIN SVCS,2018-12-11,57905,66591
374892,Identification Inves,DEPT OF HEALTH/MENTAL HYGIENE,2018-11-20,64014,64014
365456,EEO Director,DEPT OF DESIGN & CONSTRUCTION,2018-10-23,60435,161497
366581,CCC Program Administ,DEPT OF ENVIRONMENT PROTECTION,2018-10-01,83887,113725
287202,MECHANICAL ENGINEERI,DEPT OF ENVIRONMENT PROTECTION,2017-04-18,52000,52000
367353,Senior Buyer,ADMIN FOR CHILDREN'S SVCS,2018-10-05,47450,57074
382930,FSS Case Manager,HOUSING PRESERVATION & DVLPMNT,2019-02-04,37217,42799
378611,Quality Assurance & ,DEPT OF HEALTH/MENTAL HYGIENE,2019-01-02,73305,92001
347946,Victim Advocate,LAW DEPARTMENT,2018-06-01,50362,78177
369244,Exterminator,DEPT OF HEALTH/MENTAL HYGIENE,2018-10-18,38207,43938
340693,Administrative Claim,OFFICE OF THE COMPTROLLER,2018-10-05,70000,80000
