year_type,year,organization_group_code,organization_group,department_code,department,union_code,union,job_family_code,job_family,job_code,job,employee_identifier,salaries,overtime,other_salaries,total_salary,retirement,health_dental,other_benefits,total_benefits,total_compensation
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,4273,44381.77,11166.58,2694.49,58242.84,13602.2,8826.1,4423.7,26852.0,85094.84
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,790,"SEIU - Miscellaneous, Local 1021",9100,Street Transit,9110,Fare Collections Receiver,34336,62811.0,7539.33,8382.41,78732.74,14020.17,12424.5,6469.2,32913.87,111646.61
Calendar,2015,4,Community Health,DPH,Public Health,250,"SEIU - Health Workers, Local 1021",2700,Housekeeping & Laundry,2736,Porter,9890,34355.95,540.07,2783.39,37679.41,5935.65,9157.09,2843.73,17936.47,55615.88
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,790,"SEIU - Miscellaneous, Local 1021",8200,Protection & Apprehension,8214,Parking Control Officer,29625,42915.13,251.92,271.44,43438.49,9640.21,8668.97,3512.85,21822.03,65260.52
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,790,"SEIU - Miscellaneous, Local 1021",8200,Protection & Apprehension,8214,Parking Control Officer,44400,45205.96,0.0,4380.23,49586.19,10134.36,8987.93,4093.31,23215.6,72801.79
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,49619,30989.92,2350.13,917.66,34257.71,9433.68,6176.88,2920.95,18531.51,52789.22
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,8809,8678.48,0.0,250.0,8928.48,2434.68,1708.37,606.72,4749.77,13678.25
Calendar,2015,4,Community Health,DPH,Public Health,790,"SEIU - Miscellaneous, Local 1021",1400,"Clerical, Secretarial & Steno",1406,Senior Clerk,7917,10475.1,0.0,0.0,10475.1,1949.41,2319.62,883.81,5152.84,15627.94
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,22,"Prof & Tech Engineers - Personnel, Local 21",1400,"Clerical, Secretarial & Steno",1452,Executive Secretary 2,31556,80687.73,0.0,0.0,80687.73,18098.24,12500.55,6292.26,36891.05,117578.78
Fiscal,2015,4,Community Health,DPH,Public Health,250,"SEIU - Health Workers, Local 1021",2700,Housekeeping & Laundry,2736,Porter,42286,34481.6,0.0,0.0,34481.6,4449.59,9387.4,2627.4,16464.39,50945.99
Fiscal,2015,4,Community Health,DPH,Public Health,250,"SEIU - Health Workers, Local 1021",2700,Housekeeping & Laundry,2736,Porter,10415,46729.45,9234.87,6863.14,62827.46,10684.44,12506.54,5014.47,28205.45,91032.91
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,790,"SEIU - Miscellaneous, Local 1021",8200,Protection & Apprehension,8214,Parking Control Officer,37117,61376.53,12354.6,3004.16,76735.29,13912.14,12500.55,5838.61,32251.3,108986.59
Calendar,2015,4,Community Health,DPH,Public Health,250,"SEIU - Health Workers, Local 1021",2700,Housekeeping & Laundry,2736,Porter,49165,54780.0,0.0,2227.95,57007.95,13135.96,12424.5,4583.63,30144.09,87152.04
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,351,Municipal Executive Association - Miscellaneous,9100,Street Transit,9177,"Manager III, MTA",30695,145248.53,0.0,0.0,145248.53,31867.55,12500.56,24366.6,68734.71,213983.24
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,22985,64797.38,17495.58,651.77,82944.73,14867.9,12766.53,6294.74,33929.17,116873.9
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,254,"Transport Workers - Fare Inspectors, Local 250-A",9100,Street Transit,9132,Transit Fare Inspector,20424,34566.01,5489.2,6398.88,46454.09,11141.85,6565.57,3600.27,21307.69,67761.78
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,200,"Transportation Workers, Local 200",9100,Street Transit,9139,Transit Supervisor,47754,26936.0,2306.03,2212.75,31454.78,5160.79,4348.58,2672.56,12181.93,43636.71
Fiscal,2015,4,Community Health,DPH,Public Health,790,"SEIU - Miscellaneous, Local 1021",1400,"Clerical, Secretarial & Steno",1404,Clerk,41705,41985.58,0.0,2479.2,44464.78,11471.85,9782.52,3356.26,24610.63,69075.41
Fiscal,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,790,"SEIU - Miscellaneous, Local 1021",8200,Protection & Apprehension,8214,Parking Control Officer,45745,56814.4,8105.42,5292.96,70212.78,15687.65,12452.66,5631.42,33771.73,103984.51
