,review,sentiment
0,"Badland is one of the worst movies I ever seen. Most of the time this is fine and I can go on with my life, but I feel the need to warn others in this case. As a veteran of the Iraq war I feel it necessary to say that the story, plot, acting and depiction of what soldiers go through upon returning home was pure garbage. It was as if the director/writer/whoever latched on to whatever cliché about returning soldiers and ran with it and ran with it and ran with it..Not to mention I would imagine there was absolutely no research put into this film. The ""Marine"" uniform looked like it was fresh off a surplus store shelf and was a pattern not used since the first Iraq war. I won't go on forever, this is a horrible movie. If you are interested in the stories of returning soldiers there are much better alternatives. I recommend going to your local library.",negative
1,"New Year's Day. The day after consuming a few too many vodka martinis and Cosmopolitans mixed with a bunch of bubbly at midnight, my wife and I discovered the local cable company is offering up the digital specialty channels for free for the month of January. We had a choice - do we make use of the freebie channels or do we start watching the eight seasons of X-Files on DVD that we received from our daughter for Christmas?<br /><br />We elected for the digital freebie since the DVDs are going nowhere and we need something like ten twelve-hour days to watch all the X-Files beginning to end. The Drive-In channel was offering a horror classic three movie marathon: Asylum (1972), House of the Damned (1996) and The Pit and the Pendulum (1961). Asylum is well-reviewed here and the Pit and the Pendulum was on too late for us to watch which meant we could really only be properly critical for House of the Damned.<br /><br />To be honest, we tried to be serious about the movie since its stars have reasonably good acting credentials - Greg Evigan (William Shatner's over-written Tekwars) and Alexandra Paul (the only Baywatch babe who could act although she has the body of a ten-year-old boy). Unfortunately, we soon dissolved to giggles, under the influence of a little hair-of-the-dog, as we each shouted out the names of movies from which this dog borrowed its scenes: Poltergeist, The Shining, Hell House, House On Haunted Hill, Ghost Busters!<br /><br />The acting, especially by Evigan's real-life daughter, wasn't too bad considering the silly script they had to work with. The CGI, for 1996, was hilarious - at its worst point in the final scene when it should have been the most horrific it was so bad my wife and I dissolved in laughter.<br /><br />Overall: Acting 4/5, Script 2/5, SFX 0/5",negative
2,"There's really not a whole lot to say about this. It's just really, really bad. The acting is bad, the script is bad, and the editing is probably one of the worst jobs ever. It's so sloppy and choppy that it serves only to confuse the audience. There's no real to plot to speak of, mostly it's a really fake looking monster fish attacking Europeans trying to pass themselves off as Americans. Pass on this one.",negative
3,"...for this movie defines a new low in Bollywood and has set the standard against which all c**p must now be compared.<br /><br />First off, the beginning did have elements of style....and if handled well, could have become a cult classic, a-la pulp fiction or a Desi desperado...but the plot (was there one?) begins to meander and at one point completely loses it.<br /><br />Throw in a deranged don with an obsession for English, a call center smart Alec, a femme fa tale who can don a bikini and a Saree with the same aplomb, a levitating, gravity defying hit-man and a cop with a hundred (or was it a thousand) black cat commandos on their trail....good ingredients in competent hands. But this is where I would like to ask the director: Sir, what were you smoking?<br /><br />Im sure this movie would be remembered in the annals of Bollywood film making - for what must never be done - insult the intelligence of the most brain dead of movie goers. <br /><br />Possibly the only redeeming feature in this Desi matrix plus desperado plus grindhouse caper is the music...watch the videos...hear the airplay and you wont be disappointed. Vishal- Shekhar come up with some eminently hummable tunes. <br /><br />How I wish the director had spent the money in creating some more eye candy....<br /><br />As I sign off, I want to really, badly know how does Akshay's bullet wound vanish in a microsecond...what were you editors doing? Tashan, maybe...",negative
4,"What seemed at first just another introverted French flick offering no more than baleful sentiment became for me, on second viewing, a genuinely insightful and quite satisfying presentation.<br /><br />Spoiler of sorts follows.<br /><br />Poor Cedric; he apparently didn't know what hit him. Poor audience; we were at first caught up in what seemed a really beautiful and romantic story only to be led back and forth into the dark reality of mismatch. These two guys just didn't belong together from their first ambiguous encounter. As much as Mathieu and Cedric were sexually attracted to each other, the absence of a deeper emotional tie made it impossible for Mathieu, an intellectual being, to find fulfillment in sharing life with someone whose sensibilities were more attuned to carnival festivities and romps on the beach.<br /><br />On a purely technical note, I loved the camera action in this film. Subtitles were totally unnecessary, even though my French is ""presque rien."" I could watch it again without the annoying English translation and enjoy it even more. This was a polished, very professionally made motion picture. Though many scenes seem superfluous, I rate it nine out of ten.",positive
5,"Someone commented that Charlie Sheen's character should be court martialed for doing whatever he wanted. You may be right, but that is how SEAL's truly are. I served for several months with a SEAL team out of Norfolk, VA. Actually, I should say they used our ship to deploy themselves around Europe for a couple of months. I was the postal clerk on board and everyday these guys would try to get their mail. Since only one person was allowed to pick up the mail each day we issued one pass to one person. Each day a different SEAL would come up pretending to be someone else. Well, after the third time I said no to them until I had proof who they were. They went NUTS!!! I thought they were gonna bust through my cage, gag me, and then steal the mail. Luckily I had not only the President on my side (The Navy), but the Federal Government (US Mail). That was the only time I saw the SEALs stopped from having whatever they wanted. They were allowed unlimited shore leave, where we had to be back on ship at a certain time. They killed and tortured a woman in France and the two SEAL's only got a 1 week detention on ship, whereas a Seamen was caught stealing a bottle of wine from a French wine shop and he got a court martial. Is it any wonder why the SEAL's retention rate is over 85%? As a SEAL you are god. So this movie does a pretty accurate job of portraying how a SEAL acts and thinks... unfortunately it is so unbelievable to normal people that it comes off as being fake.",negative
6,"The Sentinel represents everything about the soul-lessness of Hollywood and the saddening lack of imagination present in so many movies these days. I cannot possibly think of one good thing about it, it's all so generic, so factory-made and so lazy assembled that it really only exists as an infomercial on how to make money from the unsuspecting, undeserving public.<br /><br />A plot about a Secret Service Agent planning to assassinate the Prez could well be entertaining. If handled by a good director or caring cast that is. Douglas is the one who is framed. Basinger is the First Lady, with whom he is having an affair (an undeveloped, unresolved plot contrivance). Sutherland is the best pal who believes his guilty because there would be no movie if he didn't. And Longoria is nothing. A woman with a fortune of Maybelline and...that's it. I guess there are less requirements for women when entering the Secret Service. As usual in a film like this the role of the Prez himself is nothing more than a tool, a token and is very badly written.<br /><br />Clark Johnson's, he who gave us the equally as pathetic SWAT back in 2003, mechanical direction lacks any kind of signature and has all the visual sophistication of a cheap TV-movie. Douglas, Basinger and Sutherland look incredibly bored and phone-in their performances from afar. Eva Longoria, the most over-exposed woman of the 21st Century, is basically only in this to attract to the Desperate Housewives audience. Her role is 100% pointless and she does absolutely nothing to further the plot or add to character development. She barely has 2 lines to rub together. A truly shameless marketing ploy.<br /><br />If you're a glutton for punishment then don't let me stop you. But it IS time and money you won't be getting back.",negative
7,"i consider this movie as one of the most interesting and funny movies of all time. It has so much highly intelligent thoughts in it, that anybody who thinks the movie is awful did not get it and is not able to recognize really deep philosophical themes, which are in it (in all the 3 Schneider movies) without a doubt. Several universities in germany and throughout europe have made studies on Schneider's way of seeing things. By the way, Helge Schneider is a very intelligent and sensitive person and on of the Jazz-musicions in germany (maybe europe). He is mostly inspired by the great M.Davis and T.Monk. So if you do not like him, it is ok, but please do not try to convince others that he might be stupid, cheap, boring or not funny. Because if you had to face this opinion in a discussion and if you are willing to really look into the art of H.Schneider you would have to ""surrender"".",positive
8,"Wow and I thought that any Steven Segal movie was bad. Every time I thought that the movie couldn't get worse it proved me wrong. The story was good but the actors couldn't carry it off. Also, they made a lot of mistakes on how proper archiological digs are done. For instance you don't handle artifacts untill they are catologed and accounted for. The biggest crime in casting was the archiologist girl. She is a weak actress and I felt that her acting really made the movie less realistic then it already was. The whole concept of the knights templar being underground all these years seemed pretty stupid to me. I like the idea of how they disappeared and stuff, so that almost seemed depressing. I thought that the characters wern't explained well enough. You didn't find out much background and that made it harder to relate to them.",negative
9,"Young Warriors (1983) <br /><br />While this is a deeply flawed (and in some ways idiotic) movie, the way it continually defies expectations makes it decent viewing for the adventurous sleaze fan.<br /><br />Meet yuppie college student Kevin and his gang of lovable frat boy buddies. In what starts out as a particularly egregious teen sex comedy, we follow this bunch of jerk-offs and their antics, which involve, among other things, making pledges tie bricks to their genitals. The movie abruptly shifts gears when Kevin's high school freshman sister is brutally raped and beaten into a coma by a gang of bikers who apparently have nothing better to do. When she dies in the hospital, Kevin vows revenge, much to the chagrin of his detective father.<br /><br />So far, we've gone from Porky's-lite, through Last House On The Left territory, into what is apparently shaping up to be your typical urban vigilante revenge flick. However, Kevin and his gang's portrayal goes from vaguely sympathetic until they become kill-crazed lunatics. It's to the film's credit that it doesn't glamorize the fascist anti-crime rhetoric that Kevin continually spouts, while still making it understandable that he would feel the way he does.<br /><br />The mood goes from lighthearted to grimy and downbeat very quickly, and by the end it's so over the top and exploitative that it'll leave you incredulous. And that's the strength of this film. You never know what to expect next.<br /><br />At over 100 minutes, it's a little lengthy for this kind of fare, but you won't get bored. Poorly acted for the most part, with cardboard cutouts for characters and some particularly ludicrous situations and rather stupid dialogue, this won't be topping anyone's list of forgotten classics anytime soon. I got a kick out of it though, and I'm sure anyone reading this knows if they're up for it.",positive
