date,section,lead_paragraph
2019-07-25 21:48:55+00:00,U.S.,"WASHINGTON — The Senate Intelligence Committee concluded Thursday that election systems in all 50 states were targeted by Russia in 2016, an effort more far-reaching than previously acknowledged and one largely undetected by the states and federal officials at the time."
2019-08-30 11:15:22+00:00,World,JERUSALEM — The leader of the main Arab faction in parliament has shaken up Israel's election campaign by offering to sit in a moderate coalition government — a development that would end decades of Arab political marginalization and could potentially bring down Prime Minister Benjamin Netanyahu.
2019-08-29 18:00:28+00:00,U.S.,"BEAVER DAM, Wis. — Democratic Wisconsin Gov. Tony Evers says he's awaiting a recommendation from his legal team about when to call a special election for the congressional district being vacated by retiring Republican Rep. Sean Duffy."
2019-08-29 16:57:23+00:00,World,JERUSALEM — A small Israeli ultranationalist party has agreed to drop out of upcoming national elections to support Prime Minister Benjamin Netanyahu's ruling Likud party.
2019-05-06 12:37:46+00:00,World,"NEW DELHI — Violence disrupted the Indian election in the disputed Kashmir region on Monday, as separatist militants attacked two polling stations and the police responded with what residents called excessive force."
2019-08-23 16:51:23+00:00,World,"CARACAS, Venezuela — Venezuelan opposition leader Juan Guaidó said Friday that opponents of President Nicolás Maduro won't participate in any early legislative elections he calls amid a protracted power struggle."
2019-07-07 18:40:32+00:00,World,"ATHENS — Four years ago almost to this day, Greece came a breath away from leaving the euro. People formed quiet, somber lines outside banks to take out small amounts of cash, as a lockdown on the financial system barred them from accessing their savings. They stockpiled tinned food and toilet paper."
2019-08-22 09:21:25+00:00,World,"PRISTINA, Kosovo — Kosovo's parliament was dissolved Thursday, opening the way to the country's president to set the date for an early general election."
2019-05-08 14:43:10+00:00,Opinion,"Turkey’s High Electoral Council has ordered a rerun of Istanbul’s mayoral election, which the candidate from President Recep Tayyip Erdogan’s Justice and Development Party narrowly lost last month. Since the vote, the Turkish strongman had kept complaining that the victory of an opposition candidate had been a result of irregularities or outright “theft at the ballot box.” This blatantly anti-democratic move — let’s have votes until the government gets the result it wants — is, in part, a matter of realpolitik: Mr. Erdogan’s party, and even his immediate family, depend on the resources available only to those who hold power in Istanbul, Turkey’s business center. But it also has a logic that is specific to authoritarian populists."
2019-08-27 19:14:03+00:00,U.S.,See full results and maps from the Mississippi primary runoffs.
2019-05-21 15:12:53+00:00,U.S.,See full results and maps from the Pennsylvania special elections and Philadelphia mayor's race.
2019-08-21 06:42:45+00:00,World,TUNIS — Tunisia's moderate Islamists have nominated Abdelfattah Mourou as candidate for the country's presidential elections on Sept 15.
2019-07-15 21:23:00+00:00,World,"MOSCOW — Moscow is preparing to hold elections for City Council this fall, but the most prominent opposition politicians say they may not get a chance to run."
2019-08-24 10:18:29+00:00,World,"ADDIS ABABA — Ethiopian lawmakers on Saturday revised election laws to pave the way for polls next year, but some opposition parties said the changes would make it more difficult for them to challenge the ruling coalition. "
2019-08-06 19:38:16+00:00,U.S.,See full results and maps from the Mississippi primaries.
2019-08-19 13:27:20+00:00,U.S.,"ATLANTA — Georgia voters who want hand-marked paper ballots are challenging the new election system state officials are rushing to implement in time for next year's presidential primaries, saying the new touchscreen machines remain vulnerable and their results unverifiable, even though they produce paper records."
2019-08-06 19:38:15+00:00,U.S.,See full results and maps from the Mississippi primaries.
2019-08-31 07:50:18+00:00,World,"FORST, Germany — On the eastern edge of former Communist Germany, Dr. Thomas Jähn sees his patients five days a week. Some come to talk about their own health, others about the health of German democracy."
2019-08-23 19:09:22+00:00,U.S.,"SACRAMENTO, Calif. — A Northern California jury found a Mexican national who assumed an American's identity to vote in five federal elections guilty of voter fraud and identity theft."
2019-05-13 09:00:02+00:00,U.S.,"The election may still be hundreds of days away, but the 2020 primary process is already underway. Here’s a calendar of key dates."
2019-08-20 14:09:22+00:00,World,"ROME — Italian Premier Giuseppe Conte resigned Tuesday amid the collapse of the 14-month-old populist government, raising the possibility of new elections in the fall that could bring to power the anti-migrant interior minister who engineered Conte's downfall."
2019-06-08 13:22:19+00:00,Opinion,Members of Congress have several major decisions to make after the special counsel Robert Mueller’s investigation into Russian interference in the 2016 election. Whether to pursue an impeachment inquiry is the one that’s gotten the most attention — and reasonable people can disagree about that. But Mr. Mueller’s findings leave no room for debate about the need to address the legal and institutional deficiencies that allowed a foreign adversary to tamper with America’s democracy.
2019-06-11 20:58:07+00:00,U.S.,See full results and maps from the Virginia primaries.
2019-08-31 12:18:25+00:00,World,"MOSCOW — A few thousand Russians took to the streets of central Moscow on Saturday to demand free elections to the capital's city legislature on Sept. 8, defying a ban which has been enforced with violent detentions during previous protests."
2019-06-04 14:48:17+00:00,World,"COPENHAGEN — It was the sort of campaign appearance that Mette Frederiksen, leader of the left-leaning Social Democrats, would have ordinarily considered friendly terrain — a gathering of environmentally minded students in her hometown, Aalborg, in Denmark. Except the students demanded whether Ms. Frederiksen knew the carbon footprint of the red roses her party gave away at campaign stops."
2019-08-25 06:15:29+00:00,World,"SYDNEY — Nauru President Baron Waqa was voted out of office in the tiny South Pacific island nation after six years in power, media reports said on Sunday."
2019-08-22 20:21:56+00:00,World,"ROME — Italy's anti-establishment 5-Star Movement is working to give the country a new government and avoid snap elections, its leader Luigi Di Maio said on Thursday after meeting the head of state."
2019-08-31 11:57:21+00:00,World,"MOSCOW — Thousands of people marched across central Moscow on Saturday to protest the exclusion of some city council candidates from the Russian capital's local election, but did not result in riot police making mass arrests and giving beatings like at earlier demonstrations."
2019-05-31 22:28:58+00:00,U.S.,"WASHINGTON — On June 15, 2015, Donald J. Trump descended an escalator inside his signature Manhattan property, Trump Tower, greeted the cheering supporters paid to attend, and announced an unlikely presidential candidacy."
2019-08-29 09:06:52+00:00,World,"KABUL — Afghan President Ashraf Ghani's main challenger in a election next month has said he is ready to abandon his bid for power for the sake of peace, raising more questions about prospects for an election the Taliban have vowed to block."
2019-08-22 10:36:24+00:00,World,"ROME — Italy's president gave party leaders a few more days to try to forge a solid, durable governing coalition but served notice they must convince him soon they have found a formula for a new majority in Parliament or else he'll call early elections."
2019-08-30 10:48:37+00:00,U.S.,"ST. PETERSBURG, Fla. — Ellen Kirschner is no cheerleader for Donald Trump, but the retired Florida letter carrier also feels unsure about voting for a Democrat in next year's presidential election. "
2019-08-01 19:18:41+00:00,World,"JERUSALEM — Voters in Israel are as split as ever. The main candidates, Prime Minister Benjamin Netanyahu of the conservative Likud party and Benny Gantz of the centrist Blue and White, are unchanged. Campaign slogans from April’s inconclusive election have been resurrected. Mr. Netanyahu, billboards declare, is still in a “different league.”"
2019-05-19 07:00:07+00:00,World,"BRUSSELS — For weeks, Europe’s far-right populists have been dashing across the Continent, joining arms and presenting themselves as a united front that will batter the political establishment and score a big breakthrough in this week’s elections for the European Parliament."
2019-08-16 05:16:22+00:00,World,BANGKOK — Call it the courtroom war of the colonels.
2019-05-19 13:16:55+00:00,World,"BERLIN — The Austrian president called on Sunday for new elections in September, a day after the government collapsed over the emergence of a video that showed the country’s far-right vice chancellor promising favors to a woman who claimed to be a Russian investor."
2019-07-27 18:30:05+00:00,Opinion,"Testifying before Congress this week about his investigation of Russian interference in the 2016 elections, Robert Mueller, the former special counsel, seemed eager — desperate, even — to drive home one message: foreign adversaries are intent on undermining American democracy, and the United States is still vulnerable to them."
2019-07-27 12:47:13+00:00,World,"MOSCOW — Lines of riot police officers in body armor and helmets blocked the streets of central Moscow on Saturday, arresting more than 1,300 demonstrators — chasing some of them down alleys — to blunt a protest over the fairness of coming city elections."
2019-07-19 19:36:40+00:00,U.S.,"ASPEN, Colo. — An experienced official will oversee election security intelligence across the government in a newly created senior position, the director of national intelligence announced on Friday as part of an effort to improve coordination and speed response to attacks by foreign governments."
2019-08-27 14:24:40+00:00,U.S.,WASHINGTON — The U.S. government plans to launch a program in roughly one month that narrowly focuses on protecting voter registration databases and systems ahead of the 2020 presidential election.
2019-08-26 19:06:58+00:00,U.S.,WASHINGTON — The U.S. government plans to launch a program in roughly one month that narrowly focuses on protecting voter registration databases and systems ahead of the 2020 presidential election.
2019-08-28 16:45:55+00:00,World,"WASHINGTON — The United States will not release the long-delayed political portion of its Israeli-Palestinian peace plan before Israel's elections next month, White House Middle East envoy Jason Greenblatt said on Wednesday."
2019-08-29 11:46:17+00:00,World,"LISBON — Portugal's Prime Minister Antonio Costa has ruled out a coalition government with the hard left if, as expected, his governing Socialist Party wins an Oct. 6 election but falls shy of a parliamentary majority."
2019-07-24 10:00:05+00:00,Podcasts,Listen and subscribe to our podcast from your mobile device: Via Apple Podcasts | Via RadioPublic | Via Stitcher
2019-07-24 05:00:04+00:00,Opinion,"TEL AVIV — This is a good year for Israelis who love political statistics. This month, Benjamin Netanyahu surpassed Israel’s first prime minister, David Ben Gurion, to become the country’s longest-serving prime minister. On May 30, the Knesset dissolved itself a month after it was sworn in, making its parliamentary term the shortest in Israel’s history. This year will be the first ever with two Election Days, the one in April, the second in September."
2019-06-23 16:26:30+00:00,World,ISTANBUL — President Recep Tayyip Erdogan of Turkey suffered the biggest defeat of his political career on Sunday as his candidate for Istanbul mayor conceded defeat in a repeat election.
2019-08-10 16:00:01+00:00,Opinion,To the Editor:
2019-08-27 11:12:27+00:00,World,"OTTAWA — Canada's ruling Liberals will promise to help cut cell phone and internet bills in an upcoming election campaign amid widespread complaints about the cost of wireless communications, party sources said."
2019-08-28 10:15:47+00:00,Business Day,"(Reuters) - Facebook Inc is tightening its political ad rules in the United States, it said on Wednesday, requiring new disclosures for its site and photo-sharing platform Instagram ahead of the U.S. presidential election in November 2020."
2019-08-22 09:12:34+00:00,World,"PRISTINA — Kosovo lawmakers voted to dissolve parliament on Thursday, paving the way for a parliamentary election after Prime Minister Ramush Haradinaj resigned last month."
2019-08-18 14:21:27+00:00,World,"STALOWA WOLA, Poland — Poland must resist the ""traveling theater"" of gay pride marches, the leader of its conservative ruling party said on Sunday, as the staunchly Roman Catholic country gears up for a parliamentary election on Oct. 13."
2019-08-28 08:00:57+00:00,Business Day,"LONDON — New British finance minister Sajid Javid said he will announce higher public spending on health, education and the police next week in order to ""clear the decks for Brexit,"" a move seen by many as preparation for an early election."
2019-08-20 16:18:59+00:00,World,ROME — Italy's League leader Matteo Salvini said on Tuesday he was ready to keep the coalition government alive to approve a 2020 budget and vote in a reform of parliament before heading to early elections.
2019-08-29 13:28:01+00:00,World,"SOUTHAMPTON, England — Retired electrician Steve Oliver has voted for Britain's opposition Labour Party all his life but if the political crisis over leaving the European Union leads to an early election, he will not be doing so again."
2019-07-21 15:41:20+00:00,World,"MOSCOW — Ukrainians voted on Sunday in an early parliamentary election called by President Volodymyr Zelensky, a former comedian who was elected in April, as he seeks to strengthen his position in a country that has been at war with Russian-backed rebels for more than five years."
2019-08-30 17:51:31+00:00,Business Day,"SAN FRANCISCO/WASHINGTON — A decline in economic activity in the U.S. Midwest, apparent in a little-noticed report on Friday from the Chicago Federal Reserve Bank, adds to evidence of slowing growth in factory-heavy corners of the country key to next year's U.S. presidential election."
2019-03-25 11:21:09+00:00,Opinion,"HONG KONG — I knew that the junta running Thailand wanted to stay in power, but I cannot believe how far it has gone to manipulate the general election on Sunday. I’m surprised, even going by the standards set by this government, and I don’t think I’m the only Thai to be."
2019-03-27 10:00:05+00:00,Opinion,"With more than a year and a half to go before the 2020 elections, Republicans can take comfort in a number of factors."
2019-06-02 13:21:07+00:00,World,"CAEN, France — Algeria’s Constitutional Council on Sunday canceled elections planned for next month, acceding to demands from protesters who since February have upended the country’s politics."
2019-08-19 18:24:26+00:00,U.S.,"AUSTIN, Texas — Texas Gov. Greg Abbott appointed a new secretary of state on Monday after his previous one resigned amid backlash for wrongly questioning the U.S. citizenship of nearly 100,000 voters."
2019-08-19 18:24:26+00:00,U.S.,"AUSTIN, Texas — Texas Gov. Greg Abbott appointed a new secretary of state on Monday after his previous one resigned amid backlash for wrongly questioning the U.S. citizenship of nearly 100,000 voters."
2019-08-29 15:37:05+00:00,World,"LONDON — Britain governing Conservatives intend to call an election in November, Conservatives have told senior sources at northern Ireland's Democratic Unionist Party (DUP), the editor of the Unionist Voice blog said on Thursday."
2019-05-21 08:10:29+00:00,World,"Citizens in the 28 European Union nations will go to the polls this week in an atmosphere of uncertainty — with the specter of Brexit looming over the process and a growing nationalist, euroskeptic movement drawing voter support — to cast ballots for the bloc’s only directly elected body: the European Parliament. "
2019-07-30 20:55:00+00:00,U.S.,A Republican operative in North Carolina has been charged in connection with a voter-turnout effort that investigators said was intended to manipulate the results of a now-overturned general election for Congress last year.
2019-08-29 06:54:20+00:00,World,"BAUTZEN, Germany — As the sun sets over the medieval towers of Bautzen, crowds flock to the market square. Most are old, white men. A few wave German flags as they gather for a rally with leaders of the far-right Alternative for Germany party."
2019-08-19 19:36:42+00:00,World,"CARACAS — Allies of Venezuelan President Nicolas Maduro had discussed holding a presidential election in the coming months during talks to find a breakthrough in the country's political crisis, four sources told Reuters on Monday."
2019-08-31 11:09:25+00:00,World,"LISBON — Portugal's ruling Socialists have extended their big lead in an opinion poll five weeks before an Oct. 6 parliamentary election, the latest edition of the survey showed on Saturday, suggesting Prime Minister Antonio Costa could win his first full majority."
2019-06-25 20:23:34+00:00,U.S.,"See full results from the Queens, N.Y. district attorney primary election."
2019-08-19 12:03:50+00:00,World,"GDANSK, Poland — A monument to a battle fought in the opening days of World War Two has become a new frontline in the fight between Poland's ruling nationalists and the liberal opposition in the countdown to a parliamentary election on Oct. 13."
