date,state,positive
20200525,AK,1
20200525,AL,403
20200525,AR,107
20200525,AS,0
20200525,AZ,222
20200525,CA,1848
20200525,CO,210
20200525,CT,405
20200525,DC,259
20200525,DE,156
20200525,FL,879
20200525,GA,506
20200525,GU,0
20200525,HI,0
20200525,IA,325
20200525,ID,0
20200525,IL,1713
20200525,IN,339
20200525,KS,260
20200525,KY,0
20200525,LA,640
20200525,MA,596
20200525,MD,839
20200525,ME,19
20200525,MI,202
20200525,MN,742
20200525,MO,179
20200525,MP,0
20200525,MS,206
20200525,MT,0
20200525,NC,742
20200525,ND,39
20200525,NE,145
20200525,NH,60
20200525,NJ,938
20200525,NM,148
20200525,NV,109
20200525,NY,1249
20200525,OH,566
20200525,OK,53
20200525,OR,22
20200525,PA,473
20200525,PR,71
20200525,RI,0
20200525,SC,82
20200525,SD,23
20200525,TN,462
20200525,TX,623
20200525,UT,129
20200525,VA,1483
20200525,VI,0
20200525,VT,6
20200525,WA,243
20200525,WI,307
20200525,WV,15
20200525,WY,25
20200524,AK,0
20200524,AL,389
20200524,AR,310
20200524,AS,0
20200524,AZ,300
20200524,CA,2079
20200524,CO,477
20200524,CT,446
20200524,DC,0
20200524,DE,119
20200524,FL,740
20200524,GA,706
20200524,GU,1
20200524,HI,1
20200524,IA,359
20200524,ID,31
20200524,IL,2508
20200524,IN,475
20200524,KS,0
20200524,KY,145
20200524,LA,129
20200524,MA,1013
20200524,MD,818
20200524,ME,42
20200524,MI,314
20200524,MN,728
20200524,MO,236
20200524,MP,0
20200524,MS,247
20200524,MT,0
20200524,NC,497
20200524,ND,53
20200524,NE,327
20200524,NH,0
20200524,NJ,1050
20200524,NM,170
20200524,NV,74
20200524,NY,1589
20200524,OH,503
20200524,OK,77
20200524,OR,39
20200524,PA,730
20200524,PR,89
20200524,RI,113
20200524,SC,201
20200524,SD,95
20200524,TN,356
20200524,TX,839
20200524,UT,132
20200524,VA,495
20200524,VI,0
20200524,VT,2
20200524,WA,320
20200524,WI,400
20200524,WV,42
20200524,WY,0
20200523,AK,4
20200523,AL,375
20200523,AR,0
20200523,AS,0
20200523,AZ,431
20200523,CA,2187
20200523,CO,296
20200523,CT,382
20200523,DC,73
20200523,DE,161
20200523,FL,676
20200523,GA,914
20200523,GU,0
20200523,HI,-5
20200523,IA,389
20200523,ID,61
20200523,IL,2352
20200523,IN,492
20200523,KS,0
20200523,KY,140
20200523,LA,115
20200523,MA,773
20200523,MD,1071
20200523,ME,65
20200523,MI,452
20200523,MN,840
20200523,MO,194
20200523,MP,0
20200523,MS,381
20200523,MT,0
20200523,NC,1107
20200523,ND,48
20200523,NE,237
20200523,NH,154
20200523,NJ,385
20200523,NM,153
20200523,NV,295
20200523,NY,1772
20200523,OH,614
20200523,OK,111
20200523,OR,24
20200523,PA,725
20200523,PR,70
20200523,RI,216
20200523,SC,257
20200523,SD,112
20200523,TN,395
20200523,TX,1060
